model_name,rmse,mae,r2,feature_set,experiment_type
addon_ridge__chem5_core,29.222581254144924,22.475922177681667,0.3411887426302873,chem5_core,addon
addon_ridge__chem8_core_mo_zddp,30.054843878929905,22.513198074613317,0.30312832194669315,chem8_core_mo_zddp,addon
addon_ridge__chem7_core_mo,30.08209158537774,22.501196553914035,0.3018641821416215,chem7_core_mo,addon
addon_ridge__chem10_balanced,30.284898168134763,22.730548832923635,0.2924191067449362,chem10_balanced,addon
backbone_ridge,30.541124727627455,23.28881494761525,0.2803954262300399,compact_v3_full,backbone
standalone_ridge__chem8_core_mo_zddp,33.97280185498404,27.774419141233256,0.10959704215649979,chem8_core_mo_zddp,standalone
standalone_ridge__chem7_core_mo,34.22871612221808,28.826542714450635,0.09613185478100916,chem7_core_mo,standalone
standalone_pls__chem8_core_mo_zddp,34.42996880344281,27.981481244665897,0.08547176119057343,chem8_core_mo_zddp,standalone
standalone_pls__chem7_core_mo,34.45787059895021,28.95644994302125,0.08398890656250801,chem7_core_mo,standalone
standalone_mlp__chem8_core_mo_zddp,34.471262737979906,27.816558395731608,0.08327674811680186,chem8_core_mo_zddp,standalone
standalone_mlp__chem5_core,34.70749104961863,27.766002879496728,0.0706692607406888,chem5_core,standalone
standalone_pls__chem10_balanced,35.33149256051333,28.168878704450822,0.036952228742472615,chem10_balanced,standalone
standalone_mlp__chem7_core_mo,35.8414461617846,28.966073649727342,0.008951494282847583,chem7_core_mo,standalone
standalone_ridge__chem5_core,35.909085266540906,30.861518963399362,0.005207399498568299,chem5_core,standalone
standalone_pls__chem5_core,36.222814785639855,30.70985718445174,-0.01225108806226749,chem5_core,standalone
standalone_ridge__chem10_balanced,36.23833343850756,29.035178693353416,-0.013118615245677478,chem10_balanced,standalone
standalone_mlp__chem10_balanced,39.084649813912584,32.58934446755124,-0.17851824976715625,chem10_balanced,standalone
