config_id,fold,hidden_layers,activation,alpha,learning_rate_init,rmse,mae,r2
relu_small,1,"(64, 32)",relu,0.0001,0.001,26.676324355446734,18.1937890691228,0.4518897179049194
relu_small,2,"(64, 32)",relu,0.0001,0.001,24.452739332851092,16.70802278539591,0.3989383450944268
relu_small,3,"(64, 32)",relu,0.0001,0.001,28.172553837892902,20.092902779224673,0.3251262864745962
relu_small,4,"(64, 32)",relu,0.0001,0.001,27.300780687991473,19.142369645730522,0.5521907928289715
relu_small,5,"(64, 32)",relu,0.0001,0.001,26.44993029758091,19.709818792538783,0.46609337154139585
relu_mid,1,"(128, 64)",relu,0.0001,0.001,28.630389157165855,22.141344730390724,0.36864958123611324
relu_mid,2,"(128, 64)",relu,0.0001,0.001,21.815585812413715,15.798647439906079,0.5215927579398612
relu_mid,3,"(128, 64)",relu,0.0001,0.001,34.19838168037084,20.630620578836115,0.005554040037695662
relu_mid,4,"(128, 64)",relu,0.0001,0.001,22.95036946533923,15.714567155735766,0.6835375040992313
relu_mid,5,"(128, 64)",relu,0.0001,0.001,26.093235177875805,20.247890674105598,0.4803964542392192
relu_wide,1,"(128, 128)",relu,0.001,0.0005,27.014732987585198,19.891794563539104,0.43789515432206483
relu_wide,2,"(128, 128)",relu,0.001,0.0005,17.255445405314706,12.316822831444357,0.7006933720237208
relu_wide,3,"(128, 128)",relu,0.001,0.0005,32.87490260272317,21.081925877601545,0.0810348809804986
relu_wide,4,"(128, 128)",relu,0.001,0.0005,23.435215970800407,18.257212119279806,0.6700251754960046
relu_wide,5,"(128, 128)",relu,0.001,0.0005,26.56745585767321,19.322751533542394,0.46133819230983575
relu_deep,1,"(256, 128)",relu,0.001,0.0005,26.503571756918987,18.93766873903727,0.4589657214821772
relu_deep,2,"(256, 128)",relu,0.001,0.0005,20.737284885416614,14.599743732162253,0.5677173808374758
relu_deep,3,"(256, 128)",relu,0.001,0.0005,26.75757771844447,16.901418141995318,0.3912153848599228
relu_deep,4,"(256, 128)",relu,0.001,0.0005,28.311685792150634,18.795821998629993,0.5184134538338048
relu_deep,5,"(256, 128)",relu,0.001,0.0005,27.93165390028615,20.71082252549404,0.4045990091697337
tanh_mid,1,"(64, 64)",tanh,0.001,0.001,40.319508074674715,26.407954086107946,-0.25212134786757945
tanh_mid,2,"(64, 64)",tanh,0.001,0.001,19.219290752509004,13.401266349930962,0.6286882435853615
tanh_mid,3,"(64, 64)",tanh,0.001,0.001,37.878146890640316,22.28033867467033,-0.21996543308865846
tanh_mid,4,"(64, 64)",tanh,0.001,0.001,28.79011880209786,20.30694818753393,0.50199947548243
tanh_mid,5,"(64, 64)",tanh,0.001,0.001,23.499621354943844,17.627496463471378,0.5785578410100397
tanh_wide,1,"(128, 64)",tanh,0.001,0.0005,24.924509743742508,20.07325416797474,0.5215140170883372
tanh_wide,2,"(128, 64)",tanh,0.001,0.0005,21.717020490600493,16.076173587501017,0.5259059897513584
tanh_wide,3,"(128, 64)",tanh,0.001,0.0005,27.676083001060576,18.705399345699945,0.34870262710584066
tanh_wide,4,"(128, 64)",tanh,0.001,0.0005,23.939249599369717,16.737223780756704,0.6556786503791983
tanh_wide,5,"(128, 64)",tanh,0.001,0.0005,24.989121085548234,17.83948527096419,0.5234393145422551
