feature,target_viscosity,target_oxidation,abs_sum_coef
family_total_dose__antiwear,132.67121670855116,31.514485711532362,164.18570242008352
antiwear_severity,-118.69053122778014,-22.570375164154523,141.26090639193467
severity_x_catalyst,98.18792321912039,21.249723805406035,119.43764702452643
interaction__biofuel_x_zddp,92.0132308892259,3.433638441872585,95.44686933109848
catalyst_category,-63.73122936510999,-11.990685853684614,75.7219152187946
severity_x_biofuel,-50.312678939765675,-7.628073738699923,57.9407526784656
biofuel_pct,40.27712599681395,16.08954964379044,56.36667564060439
regime_load,-46.60431227437319,-9.132780860981336,55.73709313535453
base_oil__kv100__wm,-43.765965876234695,-8.490739239126047,52.256705115360745
temperature_x_biofuel,32.43329050125368,14.113458228199132,46.546748729452815
textnum__base_oil__происхождение__origin_is_mineral__wm,33.26064956996832,11.642173692378357,44.90282326234668
textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,-24.42727180591469,-18.88902704995641,43.316298855871096
temperature_x_time,32.295775745219316,3.3761483242109964,35.67192406943031
time_h,28.639696525281426,3.714580970653189,32.35427749593462
base_oil_visc_ratio,21.85145715978431,10.223216939794865,32.07467409957918
antioxidant__ionization_ev__wm,23.93987582293129,6.980101863737747,30.919977686669036
base_oil__pour_point_c__max,14.386294526218144,11.007358114865227,25.39365264108337
textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__wm,-18.61360460845847,-4.939686571578694,23.553291180037164
catcount__base_oil__группа_по_api__1,-15.879728965718193,-0.1142861364494761,15.994015102167669
base_oil__kv40__wm,4.672039296926934,6.11620184684909,10.788241143776023
antiwear__sulfur_pct__wm,7.197047503723032,3.3690030500760924,10.566050553799125
temperature_c,-6.813951265267731,-3.105603450085688,9.919554715353419
base_oil__ccs_m35__wm,-5.295279406940154,2.1175114782341566,7.412790885174311
textnum__antioxidant__тип_ао__ao_type_is_diphenylamine__wm,6.36656331190964,0.09294088281404951,6.4595041947236895
antioxidant_balance,-6.366563311909633,-0.09294088281404231,6.459504194723675
textnum__antioxidant__тип_ао__ao_type_is_phenol__wm,-6.3665633119096094,-0.09294088281404246,6.459504194723652
severity_exp,-3.353153106466043,-2.8392698141679094,6.192422920633952
antioxidant__bde_xh_kcal__wm,-5.147259787934713,-0.696229833893492,5.843489621828205
antiwear__chain_length__wm,-2.2663759012250217,2.673343755326937,4.939719656551959
detergent__tbn_astm__wm,-0.6787085395334481,1.9178601089081215,2.5965686484415698
