feature,vip
time_h,2.2777077914029897
temperature_c,2.2371516608458686
severity_exp,2.137441144060474
temperature_x_time,2.0135369295431826
interaction__biofuel_x_zddp,1.7381485381943516
time_x_biofuel,1.609956589999962
biofuel_pct,1.4559038972793545
textnum__antiwear__разветвленность_радикала___радикалов__text_length__wm,1.4480304856958464
temperature_x_biofuel,1.423448468803892
textnum__antiwear__разветвленность_радикала___радикалов__text_length__max,1.4122129229972344
antioxidant__ionization_ev__max,1.3409745566327784
biofuel_x_catalyst,1.2864629275822481
antioxidant__lumo_ev__max,1.2782430837994174
catdose__antiwear__тип_спиртового_радикала__mixed,1.2631736501096291
textnum__antioxidant__тип_ао__ao_type_is_phenol__max,1.2550215182356095
textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,1.2531767765009798
textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__max,1.24007557591847
catcount__antiwear__тип_спиртового_радикала__mixed,1.24007557591847
antioxidant__steric_factor__wm,1.2198484671418879
antioxidant__bde_xh_kcal__wm,1.2196887390939672
textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__wm,1.209647249417603
antioxidant__ionization_ev__wm,1.207287101820454
catcount__antiwear__тип_спиртового_радикала__secondary,1.1920357886949535
textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__max,1.1920357886949535
textnum__antiwear__разветвленность_радикала___радикалов__branching_has_ethylhexyl__wm,1.156922116691039
textnum__antiwear__разветвленность_радикала___радикалов__branching_has_ethylhexyl__max,1.1512252886950356
textnum__antiwear__разветвленность_радикала___радикалов__branching_is_mixed__max,1.1509161994679205
textnum__antiwear__разветвленность_радикала___радикалов__branching_is_mixed__wm,1.1505980227307406
antioxidant__bde_xh_kcal__max,1.150137894298127
catcount__antiwear__разветвленность_радикала___радикалов__single,1.1302711148396953
antioxidant__chemical_potential_jmol__wm,1.106568341377061
antiwear__chain_length__wm,1.1022450083644224
antiwear__chain_length__max,1.0992596904876881
antioxidant__lumo_ev__wm,1.0924056910438946
antioxidant__melting_point_c__count,1.0880870760621182
textnum__detergent__номер_cas__cas_count__wm,1.0776063540579497
textnum__detergent__класс_субстрата__substrate_is_sulfonate__wm,1.0621957154526427
textnum__detergent__smiles_для_наиболее_вероятной_(средней)_молекулы_сульфокислоты__smiles_s_count__wm,1.0550425218921642
detergent__tbn_astm__wm,1.0487709912234282
textnum__detergent__номер_cas__cas_count__max,1.0160179161558154
interaction__biofuel_x_ao,0.9777204157753161
catdose__antiwear__разветвленность_радикала___радикалов__mixed,0.9671080825046414
detergent__metal_content_pct__wm,0.927992274903413
catdose__antiwear__тип_спиртового_радикала__secondary,0.915015900084912
detergent__water_pct__wm,0.9148005158892437
textnum__antioxidant__номер_cas___smiles__text_length__max,0.9092335826018082
base_oil__kv100__wm,0.9081637483601646
textnum__base_oil__происхождение__origin_is_mineral__max,0.9054904944273493
base_oil__sulfur_mgkg__max,0.8761533526687738
textnum__antioxidant__номер_cas___smiles__cas_count__max,0.8751861087229594
catcount__base_oil__группа_по_api__3,0.8705258354759383
family_total_dose__antiwear,0.8700193979730986
catdose__antiwear__разветвленность_радикала___радикалов__single,0.8672426813827194
textnum__detergent__smiles_для_наиболее_вероятной_(средней)_молекулы_сульфокислоты__smiles_hetero_count__wm,0.8665512340998146
antiwear__chain_length__count,0.8583321476742979
antiwear__sulfur_pct__max,0.8553982421973804
antiwear__sulfur_pct__wm,0.8534263061065851
catcount__base_oil__группа_по_api__1,0.8258177092971832
textnum__antioxidant__тип_ао__ao_type_is_diphenylamine__wm,0.8257881371198412
textnum__antioxidant__тип_ао__ao_type_is_phenol__wm,0.8257881371198412
textnum__antioxidant__тип_ао__text_length__wm,0.8257881371198412
base_oil__pour_point_c__max,0.8178479490158069
base_oil__kv40__wm,0.8152561167785755
base_oil__ccs_m20__max,0.8124604399738993
base_oil__kv100__max,0.809892013442049
base_oil__ccs_m20__wm,0.8074375445433372
catcount__antiwear__разветвленность_радикала___радикалов__mixed,0.7970665161771073
catcount__polymer__соотношение_мономеров_(eo:po)__eo_po_ratio,0.793113611447187
textnum__polymer__соотношение_мономеров_(eo:po)__text_length__count,0.793113611447187
polymer__weight_avg_mw__count,0.793113611447187
textnum__polymer__соотношение_мономеров_(eo:po)__has_text_value__count,0.793113611447187
textnum__moly__тип_лиганда__ligand_is_dithiocarbamate__count,0.7853134005865156
textnum__moly__тип_лиганда__ligand_is_dithiophosphate__count,0.7853134005865156
textnum__moly__тип_лиганда__text_length__count,0.7853134005865156
textnum__moly__тип_лиганда__has_text_value__count,0.7853134005865156
textnum__moly__тип_лиганда__ligand_is_amide__count,0.7853134005865156
textnum__moly__cas__has_text_value__count,0.7853134005865156
textnum__moly__cas__text_length__count,0.7853134005865156
textnum__moly__cas__cas_count__count,0.7853134005865156
textnum__moly__категория__text_length__count,0.7853134005865156
textnum__moly__категория__category_is_modtp__count,0.7853134005865156
textnum__moly__категория__has_text_value__count,0.7853134005865156
textnum__moly__категория__category_is_amine_complex__count,0.7853134005865156
textnum__moly__категория__category_is_modtc__count,0.7853134005865156
family_present__moly,0.7853134005865156
family_component_count__moly,0.7853134005865156
moly__coc_c__count,0.7853134005865156
moly__mo_pct__count,0.7853134005865156
textnum__moly__тип_лиганда__chain_count_max__count,0.7853134005865156
textnum__moly__тип_лиганда__chain_count_mean__count,0.7853134005865156
textnum__moly__тип_лиганда__chain_count_n__count,0.7853134005865156
base_oil__sulfur_mgkg__wm,0.7831745036882741
textnum__antiwear__тип_спиртового_радикала__radical_is_primary__wm,0.7750231303163307
textnum__antiwear__тип_спиртового_радикала__radical_is_primary__max,0.7602535719555447
catdose__base_oil__группа_по_api__1,0.7553466108410707
textnum__base_oil__происхождение__origin_is_hydrocracking__wm,0.7476188038440742
textnum__base_oil__происхождение__origin_is_mineral__wm,0.7416178069760271
base_oil__ccs_m25__wm,0.7385426478354089
base_oil__ccs_m25__max,0.7359184563883729
textnum__base_oil__происхождение__text_length__wm,0.7304147297823324
base_oil__kv40__max,0.7266208607073583
base_oil__ccs_m15__max,0.7136937679259321
catdose__antiwear__тип_спиртового_радикала__primary,0.700281479237289
base_oil__ccs_m15__wm,0.6489784186355901
base_oil__ccs_m35__max,0.6257789064301904
base_oil__vi__max,0.6208158318599369
polymer__stability_index_pct__wm,0.6173076167551134
polymer__stability_index_pct__max,0.6173076167551131
base_oil__deem_oil_ml__max,0.5848620116073012
base_oil__ccs_m35__wm,0.5640827826888648
base_oil__foam_seq1_cm3__max,0.5136036000387604
base_oil__foam_seq1_cm3__wm,0.508984445052182
base_oil__foam_seq2_cm3__max,0.5034067957432126
base_oil__foam_seq2_cm3__wm,0.5014340840172857
base_oil__foam_seq3_cm3__max,0.4991399264925844
base_oil__foam_seq3_cm3__wm,0.4938887703960636
base_oil__deem_time_min__max,0.34647505107348453
base_oil__deem_time_min__wm,0.28742830420483206
detergent__tbn_gost__wm,0.2231605882088125
detergent__tbn_gost__max,0.2116216459806933
